home,away,rec,op_rec,home_rec,op_away_rec,off,def,op_off,op_def,hop,aop,hdp,adp,div,result
MIN,DET,3,2,3,2,3,1,2,2,2,2,2,2,True,True
WAS,ATL,2,2,2,2,2,3,4,4,1,3,2,4,False,False
DEN,HOU,2,4,2,3,3,3,3,2,2,3,2,1,False,False
SEA,LAC,3,4,3,4,3,2,3,2,3,3,2,2,False,False
NO,LA,4,4,3,4,4,2,4,3,4,4,2,3,False,True
NE,GB,4,2,4,1,4,3,3,3,3,2,1,3,False,True
DAL,TEN,3,3,4,2,3,2,2,2,2,2,1,1,False,False
PIT,CAR,3,2,3,2,4,2,3,3,3,2,2,3,False,True
CIN,NO,2,4,2,4,2,4,4,2,2,4,4,2,False,False
CLE,ATL,2,2,3,2,3,4,4,4,2,3,3,4,False,True
CHI,DET,4,2,4,2,3,1,2,2,3,2,1,2,True,True
KC,ARI,4,1,4,2,4,4,1,3,4,1,4,4,False,True
TEN,NE,3,4,3,2,2,2,4,3,2,3,1,1,False,True
TB,WAS,1,2,2,3,4,4,2,3,3,1,4,2,False,False
NYJ,BUF,1,2,1,2,2,3,2,1,2,1,4,2,True,False
IND,JAX,3,1,3,2,4,2,2,1,3,1,2,1,True,True
OAK,LAC,1,4,2,4,3,3,3,2,1,3,4,2,True,False
LA,SEA,4,3,4,3,4,3,3,2,4,3,3,2,True,True
GB,MIA,2,2,3,1,3,3,2,4,2,2,3,4,False,True
PHI,DAL,3,3,3,2,3,3,3,2,2,2,2,1,True,False
SF,NYG,1,1,2,2,3,2,3,3,2,2,4,3,False,False
SEA,GB,3,2,3,1,3,2,3,3,3,2,2,3,False,True
BAL,CIN,3,2,3,2,3,1,2,4,2,2,1,4,True,True
ATL,DAL,2,3,2,2,4,4,3,2,3,2,4,1,False,False
NYG,TB,1,1,1,1,3,3,4,4,2,3,3,4,False,True
JAX,PIT,1,3,2,3,2,1,4,2,1,3,1,2,False,False
WAS,HOU,2,4,2,3,2,3,3,2,1,3,2,1,False,False
IND,TEN,3,3,3,2,4,2,2,2,3,2,2,1,True,True
DET,CAR,2,2,2,2,2,2,3,3,2,2,2,3,False,True
LAC,DEN,4,2,3,2,3,2,3,3,3,2,2,2,True,False
ARI,OAK,1,1,1,1,1,3,3,3,1,1,4,4,False,False
NO,PHI,4,3,3,3,4,2,3,3,4,2,2,2,False,True
CHI,MIN,4,3,4,2,3,1,3,1,3,2,1,2,True,True
LA,KC,4,4,4,3,4,3,4,4,4,4,3,4,False,True
DET,CHI,2,4,2,3,2,2,3,1,2,3,2,1,True,False
