,game_id,team,net_pass_yds,net_rush_yds,time_of_possession,net_pen_yds,fumble,interception,turnovers,num_passing_attempts,completions,completion_ratio,ypg,qbr,num_rushing_attempts,is_winner
80,2009092707,STL,187,149,1744.0,5.0,2.0,1.0,3.0,36.0,19.0,0.5277777777777778,336,74.65277777777779,33,False
81,2009092707,GB,250,155,1731.0,15.0,0.0,0.0,0.0,25.0,13.0,0.52,405,113.75,34,True
82,2009092709,NO,156,226,2030.0,47.0,1.0,0.0,1.0,31.0,16.0,0.5161290322580645,382,66.06182795698925,34,True
83,2009092709,BUF,154,89,1480.0,40.0,0.0,1.0,1.0,39.0,21.0,0.5384615384615384,243,61.271367521367516,21,False
84,2009092710,CHI,235,86,1815.0,30.0,3.0,1.0,4.0,30.0,21.0,0.7,321,112.5,27,True
85,2009092710,SEA,243,103,1766.0,15.0,2.0,1.0,3.0,47.0,26.0,0.5531914893617021,346,67.95212765957447,28,False
86,2009092701,CIN,175,100,1441.0,0.0,0.0,0.0,0.0,39.0,20.0,0.5128205128205128,275,72.0619658119658,19,False
87,2009092701,PIT,271,102,2083.0,0.0,0.0,1.0,1.0,32.0,22.0,0.6875,373,92.05729166666666,28,True
88,2009092713,SD,286,69,1457.0,0.0,1.0,0.0,1.0,35.0,18.0,0.5142857142857142,355,78.98809523809524,28,False
89,2009092713,MIA,140,149,1931.0,15.0,1.0,1.0,2.0,32.0,18.0,0.5625,289,54.166666666666664,31,True
90,2009092712,OAK,42,95,1355.0,14.0,3.0,2.0,5.0,24.0,12.0,0.5,137,16.31944444444445,23,False
91,2009092712,DEN,157,216,2004.0,10.0,1.0,0.0,1.0,23.0,13.0,0.5652173913043478,373,92.11956521739131,44,True
92,2009092714,IND,379,126,1912.0,40.0,1.0,1.0,2.0,35.0,24.0,0.6857142857142857,505,130.53571428571428,31,True
93,2009092714,ARI,299,24,1658.0,5.0,3.0,2.0,5.0,58.0,32.0,0.5517241379310345,323,60.91954022988505,12,False
94,2009092800,DAL,237,214,2218.0,0.0,0.0,0.0,0.0,34.0,22.0,0.6470588235294118,451,85.04901960784315,30,True
95,2009092800,CAR,198,74,1368.0,30.0,2.0,2.0,4.0,36.0,22.0,0.6111111111111112,272,62.037037037037045,15,False
96,2009100400,DET,308,90,2057.0,0.0,1.0,1.0,2.0,52.0,30.0,0.5769230769230769,398,73.23717948717947,26,False
97,2009100400,CHI,125,151,1395.0,13.0,2.0,0.0,2.0,30.0,18.0,0.6,276,91.66666666666666,20,True
98,2009100401,CIN,221,154,1936.0,0.0,1.0,1.0,2.0,45.0,23.0,0.5111111111111111,375,70.69444444444444,29,False
99,2009100401,CLE,249,146,2330.0,0.0,1.0,1.0,2.0,49.0,26.0,0.5306122448979592,395,65.77380952380952,33,True
100,2009100402,HOU,209,124,1647.0,5.0,1.0,0.0,1.0,25.0,11.0,0.44,333,86.91666666666666,38,True
101,2009100402,OAK,120,45,1502.0,15.0,2.0,0.0,2.0,35.0,12.0,0.34285714285714286,165,44.94047619047619,22,False
102,2009100403,SEA,230,51,1844.0,15.0,2.0,0.0,2.0,50.0,33.0,0.66,281,82.91666666666666,18,False
103,2009100403,IND,353,79,1750.0,0.0,1.0,1.0,2.0,41.0,31.0,0.7560975609756098,432,107.0630081300813,21,True
104,2009100404,TEN,284,97,1545.0,15.0,1.0,2.0,3.0,49.0,29.0,0.5918367346938775,381,65.34863945578232,20,False
105,2009100404,JAC,305,140,1853.0,0.0,1.0,0.0,1.0,39.0,27.0,0.6923076923076923,445,118.00213675213675,27,True
106,2009100405,NYG,273,156,1724.0,15.0,1.0,1.0,2.0,37.0,20.0,0.5405405405405406,429,93.63738738738739,33,True
107,2009100405,KC,88,105,1756.0,15.0,4.0,0.0,4.0,37.0,15.0,0.40540540540540543,193,63.79504504504505,26,False
108,2009100406,NE,234,87,2053.0,15.0,1.0,0.0,1.0,35.0,21.0,0.6,321,89.46428571428572,28,True
109,2009100406,BAL,247,116,1494.0,15.0,0.0,1.0,1.0,48.0,27.0,0.5625,363,75.60763888888889,17,False
110,2009100407,WAS,152,131,1730.0,10.0,2.0,2.0,4.0,24.0,12.0,0.5,283,63.19444444444445,32,False
111,2009100407,TB,100,129,1589.0,0.0,1.0,1.0,2.0,25.0,13.0,0.52,229,58.75,30,True
112,2009100408,BUF,160,46,1338.0,0.0,1.0,3.0,4.0,32.0,14.0,0.4375,206,30.729166666666668,17,False
113,2009100408,MIA,86,251,2149.0,0.0,3.0,0.0,3.0,28.0,14.0,0.5,337,68.45238095238095,44,True
114,2009100409,NO,190,155,1890.0,30.0,2.0,0.0,2.0,32.0,20.0,0.625,345,78.90625,30,False
